,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
221,He improves significantly,He improved significantly,"[ 2.617003    4.7122264   0.46175694 ... -0.43069878  1.0803198
  3.2843142 ]","[ 2.0949764   4.3199477  -0.589828   ... -1.1351393   0.55538756
  2.806081  ]"
222,She declines gradually,She declined gradually,[3.908635  4.9249883 1.8352181 ... 0.3473742 0.4992155 2.3973153],"[ 2.8636324   4.700252    0.6565006  ... -0.13257319  1.1687961
  2.8484638 ]"
223,They progress rapidly,They progressed rapidly,"[ 1.3019695   4.086513    0.85208017 ... -0.8597629  -1.0679927
  2.67972   ]",[ 1.8940878  3.0581112  0.6070285 ... -1.5992432 -0.4813391  2.316497 ]
224,We regress slowly,We regressed slowly,"[ 0.82947654  2.485024   -0.02056451 ... -0.8911316   0.49161163
  2.1600838 ]","[ 0.9783292   1.2708683   0.5556715  ... -0.56557024 -1.1419148
  1.3689404 ]"
225,I recover quickly,I recovered quickly,"[ 2.4758847   5.162926    1.1241053  ... -0.96658206  3.3961022
  2.1871178 ]",[ 2.0202816  4.6788945  1.2011201 ... -1.9488455  4.515853   2.8077233]
226,You relapse unexpectedly,You relapsed unexpectedly,"[ 1.6964545   3.0956688  -1.3857278  ... -0.17984685  0.34608197
  0.91399735]","[ 0.35577992  3.5071118  -0.2887555  ... -1.6000831   0.44225943
  1.0886734 ]"
227,The sun warms the earth,The sun warmed the earth,[-0.6480902  4.831168   2.0831041 ... -0.4153374 -3.1877816  3.7499468],"[-0.65638494  2.776397    2.2054126  ... -0.7654649  -2.9240527
  3.7933433 ]"
228,The wind whispers secrets,The wind whispered secrets,"[ 3.3196814   3.421896    0.38827133 ...  0.943612   -2.4341707
  0.7448871 ]","[ 3.6051273   2.287969   -0.29781786 ...  0.45109993 -2.0330486
  0.34949595]"
229,The rain cleanses the air,The rain cleansed the air,"[ 2.601598    5.1071305   3.9388096  ...  0.28209016 -5.045689
  0.267094  ]","[ 2.936528    2.5754788   3.4949226  ... -0.05326565 -4.7223496
  0.6593199 ]"
230,The snow blankets the ground,The snow blanketed the ground,"[-0.14382903 -0.6914665  -0.9010978  ... -2.7206454  -2.0623217
  0.83939964]","[ 0.31609043 -2.3506303  -0.40681204 ... -3.260952   -0.9606075
  0.16726272]"
231,The ice melts slowly,The ice melted slowly,"[ 3.0265255   0.09859228  3.09656    ... -2.2279878  -3.076513
  2.06075   ]",[ 2.7938492  1.1114703  1.4626031 ... -2.1996527 -1.8006297  1.5937254]
232,The river flows freely,The river flowed freely,"[ 3.897409    0.75420517  0.25007924 ... -1.5258975  -3.1705143
  0.5847931 ]","[ 2.8482003   0.8423333   0.17241472 ... -1.7994838  -3.4285507
  0.53432024]"
233,The ocean roars powerfully,The ocean roared powerfully,"[-1.7004209   4.746798    2.2640069  ...  0.46423504 -2.2545774
  0.74296135]","[-1.7976184   4.415817    1.7954925  ...  0.3385665  -1.6413131
  0.63471305]"
234,The mountains stand tall,The mountains stood tall,"[ 0.9078321   1.0024015   0.12589946 ... -0.3875067  -2.5321383
  1.3167056 ]","[ 0.23942867  0.4940157   0.23646623 ... -0.44329458 -1.918566
  1.9097111 ]"
235,The trees sway gently,The trees swayed gently,"[-0.37395626 -1.2017213  -2.972856   ... -1.35606    -2.263428
  2.9761472 ]","[-0.65069705 -1.0061543  -3.1909919  ... -0.5544585  -1.8013672
  2.5298228 ]"
236,The flowers bloom brightly,The flowers bloomed brightly,"[ 3.284512    0.5161904  -0.39586967 ... -0.31238866 -5.074686
  1.9311503 ]","[ 2.2302933   0.9567758  -0.36488947 ... -0.18331212 -4.1612377
  1.4435685 ]"
237,The birds sing sweetly,The birds sang sweetly,"[ 0.7871946   1.6985375  -1.1488392  ... -3.2969189  -2.1356647
 -0.19184062]","[ 0.8144132   1.5718123  -1.3700415  ... -3.5620522  -1.8338684
 -0.01834858]"
238,The bees pollinate flowers,The bees pollinated flowers,"[ 2.6238317   3.9048417   2.2993584  ... -0.9245094  -1.9066193
 -0.25541943]","[ 2.3819757   2.7445562   1.8417885  ... -1.0095481  -1.5932716
 -0.23843288]"
239,The butterflies flutter gracefully,The butterflies fluttered gracefully,"[ 2.166517   -1.1882708  -2.0806599  ... -0.78943944 -1.7887383
  1.9103515 ]","[ 1.8116901  -1.3856226  -2.1152859  ... -0.78994626 -1.5168436
  1.6104292 ]"
240,The ants march diligently,The ants marched diligently,"[ 5.762299   -1.617815    0.17764495 ... -2.1951256  -1.1791629
  1.1662425 ]","[ 5.4411716  -0.5580451   0.06541769 ... -2.4045813  -0.46085912
  0.972586  ]"
241,The spiders spin webs expertly,The spiders spun webs expertly,"[ 1.8879219   0.7714164  -0.03383745 ... -0.15328987 -4.28371
  3.2419002 ]","[ 2.3103173   0.236039    0.09445405 ... -0.6220891  -2.7797987
  2.5106354 ]"
242,The frogs croak loudly,The frogs croaked loudly,[-1.0759752  0.7841763  2.114634  ... -1.1749223 -3.9257417  2.4596477],"[-0.62774     0.5106176   0.98120964 ... -1.5340719  -3.1133661
  2.5830967 ]"
243,The snakes slither silently,The snakes slithered silently,"[ 1.6003125  -0.2213376   0.19987628 ... -1.0958726  -1.3922459
  3.5319011 ]","[ 1.2643541  -0.26960644  0.63926965 ... -1.1185503  -1.0290464
  3.2091541 ]"
244,The lizards bask lazily,The lizards basked lazily,"[-0.99193984 -2.328523   -0.566566   ... -0.14458148 -2.3402624
  4.153321  ]","[-1.6984217  -2.0599744  -0.07662552 ... -0.48386446 -2.3734596
  4.376007  ]"
245,The turtles crawl slowly,The turtles crawled slowly,[ 3.6862197 -1.4370244  1.4542878 ... -0.796933  -1.8056298  2.9456382],[ 3.211364  -1.2194697  1.2213417 ... -1.1881077 -0.9319103  2.6258564]
246,The fish swim swiftly,The fish swam swiftly,"[ 0.05296363  2.0194786   0.1045616  ... -1.113266   -3.2917447
  3.3426008 ]","[-0.15001342  1.2403712   1.17644    ... -1.1170214  -2.1958268
  2.567657  ]"
247,The whales communicate underwater,The whales communicated underwater,[ 1.2489932  3.4829655  4.3196588 ...  0.4645891 -2.8528287  0.1070573],"[ 1.3434834   3.7365022   4.234084   ... -0.31881487 -1.1014451
  0.5385082 ]"
248,The dolphins leap playfully,The dolphins leaped playfully,"[-0.37851757  1.6663347  -0.6042453  ... -0.89352006 -3.680769
  3.6257064 ]","[-0.9828828   1.8153785  -0.10436834 ... -2.0049     -2.6514504
  1.8466493 ]"
249,The sharks patrol the ocean,The sharks patrolled the ocean,"[-0.5748682  -0.54334056  0.69747305 ...  0.4774763  -4.0671196
  0.86635697]","[-0.8603976  -0.6303243  -0.28647313 ...  0.23454046 -3.1130848
  1.3446536 ]"
250,The jellyfish drift aimlessly,The jellyfish drifted aimlessly,"[ 1.3795296  -1.5904039   2.541714   ... -0.34858167 -2.1702206
 -0.18172403]","[ 0.64986515 -1.2628092   1.7020344  ... -0.67696166 -2.5889108
 -0.41291332]"
251,The crabs scuttle sideways,The crabs scuttled sideways,"[ 1.4912893   1.3998698   1.3522755  ...  0.04968834 -0.5151718
  1.7405424 ]","[ 1.1233901   1.0598109   1.5238397  ... -0.06117541 -0.01926131
  1.2201507 ]"
252,The seagulls soar above,The seagulls soared above,"[ 1.5173963   1.4897982   1.6208128  ... -0.12214607 -1.6884133
  1.4497906 ]",[ 1.5078219  1.2697281  1.5089861 ... -0.3484231 -1.2580771  1.1298386]
253,The pelicans dive skillfully,The pelicans dived skillfully,[-0.5115044  1.88635   -1.4339596 ... -2.1053798 -1.5217286  2.4884589],[-1.463848   1.6046832 -1.3657233 ... -1.7821516 -1.2096566  2.9067233]
254,The penguins waddle clumsily,The penguins waddled clumsily,"[ 0.22450463 -2.3771534   0.27748737 ... -0.94291323  0.27753264
  1.3609635 ]","[-0.11496389 -1.8618996  -0.34031543 ... -1.2242184   0.7299539
  1.5927342 ]"
255,The seals swim gracefully,The seals swam gracefully,[ 0.9927787  1.5518332 -1.0923686 ... -2.7572424 -1.2833744  1.7526518],"[ 0.2960937   0.67451626 -0.10193877 ... -2.063044   -0.52012384
  0.7686962 ]"
256,The walruses rest on land,The walruses rested on land,"[-1.1225265  -1.479305    0.36432117 ...  0.1791842   2.896004
  0.9916288 ]","[-0.46916723 -0.87932765  0.04126876 ...  0.04418298  3.3415911
  0.71891266]"
257,The polar bears hunt strategically,The polar bears hunted strategically,"[ 0.70375     2.672606    0.76029223 ... -1.4767237  -1.079553
  1.7311687 ]","[ 0.5487683   2.7238507   0.3304934  ... -2.0747237  -0.14247008
  1.194123  ]"
258,The arctic foxes track prey,The arctic foxes tracked prey,[ 2.5091488  1.0028931  2.6765597 ... -1.0257546 -1.4627217  2.3781722],"[ 2.26206     0.77779853  2.3038175  ... -1.8589879  -1.0038477
  2.2690012 ]"
259,The snowy owls hunt silently,The snowy owls hunted silently,"[-0.5077053  -1.3275791  -0.6249264  ... -3.610859   -1.0926281
  0.58613354]","[-0.51875114 -1.0197372  -0.7474947  ... -3.996751   -0.60532653
  0.40443087]"
260,The musk oxen graze peacefully,The musk oxen grazed peacefully,"[-1.8115079   0.33175346  2.1426313  ... -1.7721312  -1.6511148
  3.3593225 ]","[-1.3688661  -0.57211316  1.8709095  ... -2.5852125  -1.5594102
  3.1787665 ]"
261,The caribou migrate annually,The caribou migrated annually,"[ 0.96841264  1.4575043  -0.1910305  ... -2.251899   -1.4521483
  2.757084  ]","[ 0.95565176  1.4717237  -0.3426515  ... -2.6048987  -0.40383384
  3.1631546 ]"
262,The children laugh joyfully,The children laughed joyfully,"[-0.82509613  1.5818479   0.25315428 ... -1.6987671  -2.7830493
  2.2499068 ]","[-0.96063375  1.607681    0.02041688 ... -1.6765869  -1.519303
  2.1754534 ]"
263,The dogs bark excitedly,The dogs barked excitedly,"[-1.332103    3.5024307  -0.9329624  ... -2.0915418   0.17863742
  0.56020874]","[-1.4763497   3.4820557  -1.4670619  ... -2.99714    -0.36191645
 -0.48008403]"
264,The cats purr contentedly,The cats purred contentedly,"[ 0.3349479   0.21819961  1.4380485  ... -1.5363222  -1.7458497
  1.3227801 ]","[ 1.046693   -0.75304     0.60488266 ... -0.6919281  -1.0637751
  2.659969  ]"
265,The horses gallop freely,The horses galloped freely,[ 1.5071796 -1.2150265 -3.4977174 ... -0.9379579 -1.3011194  1.9126123],"[ 1.2326496  -1.1035908  -2.9636192  ... -1.4213796  -0.29409727
  1.1133496 ]"
266,The cows graze peacefully,The cows grazed peacefully,"[ 0.16358176  0.636917    2.3200617  ... -0.95399606 -1.5109569
  4.0854673 ]","[ 0.9823076  -0.72733843  1.8270199  ... -1.838315   -1.5016376
  3.97984   ]"
267,The sheep bleat softly,The sheep bleated softly,"[ 0.50588423  1.0934603   0.16374055 ... -2.4978054  -1.083009
  2.958013  ]","[-0.21940133  1.3077798  -0.06607036 ... -2.5589607  -0.5697033
  2.6976864 ]"
268,The pigs root happily,The pigs rooted happily,"[-0.07498878  2.2380185   1.440495   ...  0.3957248   0.5707413
  2.2542653 ]","[-0.012766    0.99292153  1.6456223  ... -0.29862595  1.5178455
  2.4299426 ]"
269,The goats climb skillfully,The goats climbed skillfully,"[ 3.049663    0.10210282  1.6141344  ... -1.0044152   0.31218773
  1.3992558 ]",[ 2.5605094  0.5833651  1.1046165 ... -1.9603798  1.1544819  0.9870326]
270,The chickens peck busily,The chickens pecked busily,"[ 1.0619242  -0.42810667  1.6379633  ... -1.0888214  -1.0341452
  1.1251632 ]","[ 0.6888328   0.02261591  1.191125   ... -1.03237    -0.6866788
  0.65952003]"
271,The ducks swim happily,The ducks swam happily,[ 1.133359  -1.2257106 -3.1923587 ... -2.9977136 -2.2446284  3.7238607],[ 0.3442388 -1.0060148 -1.8394306 ... -2.6472485 -1.5298607  2.876822 ]
272,The geese fly in formation,The geese flew in formation,"[-0.02331442 -0.7395728  -0.18218033 ... -0.9063104  -2.0886428
  1.0810059 ]","[-0.7065788  -0.28098598  0.5284487  ... -1.5035094  -1.7076392
  1.574262  ]"
273,The swans glide elegantly,The swans glided elegantly,"[ 1.9067827  -0.41817936 -1.4987718  ... -1.6951023  -2.2446659
  1.849234  ]","[ 1.9190732  -0.06704549 -1.4139812  ... -1.8895357  -1.3593941
  2.4672434 ]"
274,The eagles soar majestically,The eagles soared majestically,"[ 1.3249359   1.4020636  -0.62846476 ... -3.0611115  -3.2788587
  3.132406  ]","[ 1.1988243   0.87409174 -0.19829135 ... -3.4193447  -2.534632
  3.2071214 ]"
275,The hawks hunt fiercely,The hawks hunted fiercely,"[ 0.93145657  0.70833415  0.9458555  ... -2.7041135  -1.740495
  2.945292  ]",[ 1.0761845  0.777206   0.6927339 ... -3.3747916 -1.0716295  2.6893296]
276,The owls observe intently,The owls observed intently,"[ 0.20951939 -0.7267306   2.4307282  ... -0.98236746 -1.5407066
  0.44227755]","[ 0.39637032 -1.5357499   2.5075428  ... -1.8387551  -0.14698566
  0.11639198]"
277,The ravens caw loudly,The ravens cawed loudly,"[-0.61366516  0.5663756  -0.23184521 ... -2.223646   -0.7099406
  2.5317476 ]","[-1.1765499   0.38585305 -0.9650138  ... -1.8305972  -0.74321973
  2.2267957 ]"
278,The sparrows chirp merrily,The sparrows chirped merrily,"[ 1.8866178   0.21063665  0.57757825 ... -0.6154034  -2.2015517
  0.6836933 ]","[ 1.1277952   0.36141914  0.1497616  ... -0.8319938  -1.7305813
  1.0380836 ]"
279,The robins build nests,The robins built nests,"[ 3.4205441   1.2818104   0.2775251  ... -2.4114733  -2.344731
 -0.36521804]","[ 2.8951015  -0.18070336  0.37757102 ... -2.3516202  -1.767092
  0.02492443]"
280,The bluebirds sing beautifully,The bluebirds sang beautifully,"[ 0.61313856  1.3873771  -1.2351137  ... -1.7767665  -3.8422856
 -0.16110383]","[ 0.33023673  0.5982702  -1.3547466  ... -1.4627432  -3.6470408
  0.39958352]"
281,The cardinals flash red,The cardinals flashed red,[-0.3778245  1.989461   1.0657513 ... -1.0799756 -1.3225524  3.5522385],"[-0.82138044  2.3272045   0.83822805 ... -1.5800778  -0.8918823
  3.2837677 ]"
282,The woodpeckers peck trees,The woodpeckers pecked trees,"[ 0.13459167 -1.0070808  -0.28954294 ... -0.508034    1.4938024
  0.6921264 ]","[ 0.04042729 -0.7323103  -0.7254857  ... -0.4418852   1.1874427
  0.26564208]"
283,The owls hunt at night,The owls hunted at night,"[ 0.05500056 -0.3614621   1.3723377  ... -2.624738   -1.5491519
  1.1642414 ]","[ 0.07156309  0.10781666  0.7714377  ... -3.224315   -0.5941598
  0.99748445]"
284,The squirrels gather nuts,The squirrels gathered nuts,"[-0.10693655  0.23658144  1.3158047  ... -2.329776   -0.87414247
  0.14963436]","[ 9.9278927e-02 -3.3172360e-01  1.1878762e+00 ... -2.9611917e+00
 -1.4634760e-01  1.8036366e-04]"
285,The rabbits hop quickly,The rabbits hopped quickly,"[ 3.1057656   1.09436     0.05719164 ... -2.296708   -0.88708735
  3.9052022 ]","[ 3.1791387   0.8635373  -0.25424355 ... -1.671746   -0.1538929
  2.7042427 ]"
286,The deer leap gracefully,The deer leaped gracefully,[ 2.7858183 -1.7846456 -0.641234  ... -2.0642877 -2.168846   4.4334483],"[ 1.609462    0.19757107 -0.23916216 ... -3.3664405  -0.8887371
  3.024218  ]"
287,The foxes stalk stealthily,The foxes stalked stealthily,"[ 1.6359197  -1.1915078   0.40868512 ... -0.66241294 -1.9159518
  2.7753906 ]",[ 1.3167471 -1.2440962  0.5189756 ... -0.7207489 -1.5888699  2.379101 ]
288,The wolves howl at night,The wolves howled at night,"[-0.9235549   1.0789851  -2.0383916  ... -2.022411    0.24635243
  0.8070074 ]","[-1.0468825   1.5143051  -2.3592942  ... -2.0507343   0.38774094
  1.0133882 ]"
289,The bears hibernate during winter,The bears hibernated during winter,"[ 0.47188878  0.8718197  -2.6061823  ... -2.4797308   1.1847968
  2.8020065 ]","[ 0.6316687   0.16387662 -2.1536632  ... -2.326514    1.4289023
  3.022223  ]"
290,The lions hunt in pride,The lions hunted in pride,"[-0.07539447  2.117597   -0.87325877 ... -0.48231524 -2.1456482
  4.381664  ]",[ 0.3302424  2.7855878 -1.7559822 ... -0.6674149 -1.1923494  3.4973671]
291,The tigers stalk silently,The tigers stalked silently,"[ 1.7350105   0.7093412   0.36538428 ...  0.97117376 -1.3616527
  3.445731  ]","[ 1.3737558   0.58285683  0.3781261  ...  0.7060757  -1.1822414
  3.098756  ]"
292,The elephants roam widely,The elephants roamed widely,"[ 2.344073   -0.37287533 -0.84225464 ... -1.5652382  -0.2633887
  1.2329195 ]","[ 1.7158924   0.7203387   0.7995036  ... -1.0105307   0.33928633
  1.047241  ]"
293,The giraffes reach high,The giraffes reached high,"[-0.11272585 -2.2780256   2.4449313  ... -0.96810675 -1.9918809
  0.89466906]","[ 0.14514685 -1.7158262   2.032006   ... -1.0252923  -1.2298275
  1.5597072 ]"
294,He smiles warmly,He smiled warmly,[ 2.560271   5.7103043  3.5377884 ... -1.2954662 -1.2310725  1.6200074],"[ 3.1354883   5.3717823   3.045232   ... -1.940965   -0.06294052
  2.1223638 ]"
295,She laughs heartily,She laughed heartily,"[ 0.82433456  4.093455   -0.17248502 ... -1.1363494  -1.9597772
  3.6034575 ]",[ 0.7995187  3.6522489 -0.6724478 ... -2.2042043 -0.9635552  3.6810403]
296,They cry softly,They cried softly,"[ 0.49594298  5.2892385   0.26847228 ... -0.57177836 -2.1698456
  4.5706787 ]","[-0.29014078  6.0543303   0.4785819  ... -1.8894081  -1.253945
  4.6573963 ]"
297,We whisper secrets,We whispered secrets,[ 1.2376066  4.4609776  1.6685596 ...  1.2239116 -3.707013   1.9463353],[ 1.7456576  2.73749    1.6285381 ...  1.1007427 -3.1035385  1.3883127]
298,I shout loudly,I shouted loudly,"[-0.6647734   7.136947    0.6755605  ...  0.52386284  0.17464924
  3.6741116 ]","[-0.88153726  8.206429    0.42479697 ...  0.27359828  0.3907957
  3.7446635 ]"
299,You hum quietly,You hummed quietly,[ 0.3825918  4.6246924  1.0433849 ... -0.9854336 -0.5388544  2.1210265],"[ 0.39474577  2.9815505   1.0583209  ... -1.5036559   0.6981461
  0.5528705 ]"
300,It sings melodically,It sang melodically,"[ 0.26352274  3.511469   -0.8159468  ... -1.7713404  -2.2142785
  0.09572899]","[ 0.27396643  3.172392   -0.3981947  ... -1.8373296  -2.0295684
  0.49493557]"
301,He plays skillfully,He played skillfully,"[ 0.29552     3.8558843  -1.1451112  ... -4.1212454  -0.77973783
  4.091818  ]","[-0.28475732  3.6428442  -1.1124408  ... -4.3351917   0.08778721
  4.2809057 ]"
302,She dances elegantly,She danced elegantly,"[-0.09219038 -0.0585494  -3.3393111  ... -0.7949883  -3.3991308
  5.394327  ]","[-0.09320312 -1.4421098  -3.565295   ... -1.4163096  -2.222555
  5.216179  ]"
303,They paint beautifully,They painted beautifully,"[-1.0273622   0.9334013   1.9921656  ... -1.8626375  -3.3624065
  0.72351193]","[ 0.08497199  0.9999959   1.23025    ... -2.4447038  -2.767622
  0.8135373 ]"
304,We sculpt creatively,We sculpted creatively,"[-3.7923832   3.8160837   0.34743822 ... -1.2612734  -1.8126405
  2.0402715 ]","[-4.368243    2.7086737   0.44334382 ... -1.2707648  -0.9402866
  1.2618139 ]"
305,I write fluently,I wrote fluently,[-0.8571561  0.7420248 -2.1599982 ... -1.6782913  0.6583162  3.2404895],"[-0.47509527  0.13903058 -2.3483784  ... -3.5138144   0.8389747
  3.7534883 ]"
306,You read voraciously,You read voraciously,[-2.2624726  1.3201203  0.5724651 ... -1.5484045 -1.2249048  2.6756518],[-2.2624726  1.3201203  0.5724651 ... -1.5484045 -1.2249048  2.6756518]
307,It feels smooth,It felt smooth,"[-0.57639986  0.7625561   0.62890583 ... -1.7683358   1.1780905
 -0.7863319 ]","[ 0.22956204  0.7194106   0.97719544 ... -2.0960543   2.4235537
 -0.7553571 ]"
308,He tastes the wine,He tasted the wine,"[-2.4865477   5.4630103   3.4103541  ...  0.91764677 -1.5806098
  1.4591846 ]","[-2.1530461   6.5804663   2.901566   ...  0.43524617 -1.1216828
  1.2540761 ]"
309,She smells the flowers,She smelled the flowers,"[ 0.08035639  4.829223    0.36763996 ...  2.4486864  -4.3883204
  0.8758228 ]","[-0.22530267  5.723757   -1.1270769  ...  2.606692   -2.8198454
  0.84707147]"
310,They see the stars,They saw the stars,"[-1.0325892   3.0146313  -0.693892   ...  0.21768767 -3.043378
  2.5625858 ]","[-0.13287073  2.632662   -0.7971177  ...  0.01595163 -1.6637355
  2.6561935 ]"
311,We hear the music,We heard the music,"[-3.0419111   2.5793376  -0.40766805 ... -0.5624502  -2.0296514
  2.9931731 ]","[-2.9423766   2.1084104  -1.3289201  ... -1.4264282  -0.81890917
  2.956804  ]"
312,I touch the fabric,I touched the fabric,"[ 0.49806625  4.538138    1.7914395  ... -0.41863495 -1.6132798
  0.36168003]","[-0.21218841  3.6491652   0.4704239  ... -1.3203113  -1.1779097
  1.4958076 ]"
313,You feel the breeze,You felt the breeze,"[-2.5230846   4.7959523  -2.0069346  ...  1.7166388  -0.04539198
  0.07434803]","[-1.7344716   3.7918947  -2.071815   ...  0.91616505  1.0630999
  0.8591394 ]"
314,It looks fantastic,It looked fantastic,"[-1.6635107   0.13363473  0.7637846  ... -1.5350419  -2.1786094
  1.9967413 ]","[-1.7552134   0.03047546  0.2156059  ... -1.7299551  -2.119921
  1.938711  ]"
315,He seems happy,He seemed happy,[ 1.352784   3.9761093  2.9068263 ... -1.776332  -0.1846401  3.307412 ],"[ 0.96815777  3.748064    2.4074066  ... -2.2215092   1.1221038
  3.922903  ]"
316,She appears tired,She appeared tired,"[ 0.54951215  1.8398024   2.2163384  ... -2.651715   -3.3115902
  5.0216236 ]","[ 0.23939031  1.5702118   1.9966278  ... -2.613815   -2.3986955
  5.9146805 ]"
317,They sound excited,They sounded excited,[-1.711245   3.5048313  0.9114384 ... -1.0605017 -0.2547342  2.8148499],[-1.8947061  4.687303   0.777042  ... -1.6631788  0.765073   2.9908912]
318,We remain calm,We remained calm,"[-0.14320135  5.2550244   1.3545262  ... -1.5409694  -2.5690339
  2.7592916 ]","[ 1.0488188   2.1604984   2.106081   ... -1.0214028  -0.35752463
  3.3745487 ]"
319,I stay focused,I stayed focused,[ 1.3682384  1.8014892  3.3505    ... -2.0147767 -1.0506313  1.8912631],"[ 0.7342165   1.3878511   2.6068146  ... -2.5160198   0.96313757
  2.6691713 ]"
320,You become stronger,You became stronger,"[-0.30431473  8.737859    1.0904974  ... -0.7054179   0.30361405
  4.0106893 ]",[-1.1815553  8.241128   1.0934135 ... -1.2637256  0.8378484  4.027344 ]
321,It gets better,It got better,"[ 0.25594425  2.0685227   1.6358142  ... -0.43153837  1.1761422
  2.8506854 ]",[ 0.6598521  2.0370276  1.5520142 ... -0.9147386  1.6649852  2.6562798]
322,He grows taller,He grew taller,[ 2.077709   4.832259   1.871842  ... -1.3949553 -1.9094471  3.2048833],[ 1.2982103  4.400019   1.1958007 ... -2.4938476 -0.9675506  3.0903141]
323,She shrinks smaller,She shrank smaller,[ 1.6189146  4.042014   2.2703595 ... -0.517449   0.383246   2.5636473],[ 1.5352062  3.3602986  1.1707383 ... -0.4446501 -0.5614015  2.3722749]
324,They expand greatly,They expanded greatly,"[ 1.5944847   3.0565302   0.29328114 ...  0.33642745 -1.31146
  2.1888638 ]","[ 1.2259291   1.4474758   0.91794395 ...  0.02301735 -0.99391574
  2.5720942 ]"
325,We contract slightly,We contracted slightly,"[ 0.8941315   2.553713    0.38914207 ...  0.623897   -1.5041827
  1.9357432 ]","[-0.5278892   2.1427274  -0.14383268 ...  0.29085016 -1.654327
  0.16106932]"
326,I improve significantly,I improved significantly,"[ 2.1420949   3.5835943  -0.340027   ... -0.60653234 -0.10249362
  3.0371761 ]","[ 1.6359316   2.4169283  -1.1012944  ... -1.5050716  -0.24528861
  2.5315297 ]"
327,You worsen gradually,You worsened gradually,"[ 0.13999216  3.625499    1.5873245  ... -0.12650783  2.1995237
  2.2304802 ]","[ 0.55895066  2.72095     1.4727206  ... -0.7190432   2.7603226
  2.1894464 ]"
328,It disappears quickly,It disappeared quickly,"[ 1.6956412   5.058377    1.4075066  ... -0.17910147  1.3566223
  1.2885104 ]","[ 0.88913155  3.3257926   0.40611014 ... -1.0029851   1.4853195
  1.2490402 ]"
329,He appears suddenly,He appeared suddenly,"[ 1.0569321   4.743674    0.83294225 ... -1.0761087  -1.7389903
  2.5932148 ]","[ 0.99963015  4.908788    0.35794726 ... -1.0403571  -0.67247725
  3.1803653 ]"
330,She vanishes mysteriously,She vanished mysteriously,"[ 3.3333447   3.0803764  -0.30053854 ... -0.7050311  -2.2669115
  0.37436336]",[ 1.5479715  2.1502085  0.1509014 ... -1.7643384 -0.8537417  1.1103314]
331,They materialize unexpectedly,They materialized unexpectedly,"[ 1.4463143   3.5712714  -0.02013999 ... -0.00928017 -1.6426407
  2.0546687 ]","[ 1.0661515   3.601264   -0.20731863 ... -0.605554   -1.107522
  1.7757509 ]"
332,We assemble carefully,We assembled carefully,"[ 0.61801106  2.2221732   1.4170374  ... -0.38477597 -0.30897245
  2.107103  ]","[-0.55279046  0.29088053  1.192706   ... -1.738007    0.3248559
  1.6297641 ]"
333,I disassemble methodically,I disassembled methodically,[ 2.3644722  0.8563425  1.1608456 ... -1.3540322 -0.3802914  1.8586317],[ 1.3275663  0.8117568  1.3171796 ... -1.4500202 -0.729544   1.3347206]
334,You construct diligently,You constructed diligently,"[-0.4908404   2.9737625  -0.14973633 ... -0.711535    1.307744
  2.5956833 ]","[-1.4717456   2.9357793  -0.16538136 ... -1.7515846   2.1129425
  2.0270667 ]"
335,It deconstructs effortlessly,It deconstructed effortlessly,[0.221711   1.4308819  1.2397908  ... 0.44304734 0.20049587 1.4849122 ],"[ 1.0428813   0.46401304  1.3902384  ...  0.649858   -0.00298804
  2.6417794 ]"
336,He reconstructs meticulously,He reconstructed meticulously,"[-1.1495767   2.231591    0.95056045 ...  0.6823126   0.38964823
  1.982681  ]","[-1.6019131   2.418871    0.79199505 ...  0.3597552   2.0002115
  2.6146348 ]"
337,She deconstructs thoughtfully,She deconstructed thoughtfully,"[-0.4149383   1.3023762   0.72991294 ... -0.29926467 -3.2219574
  1.2011424 ]","[ 0.26735204  0.826409    0.81064063 ... -0.8056754  -2.38026
  1.5734324 ]"
338,They analyze critically,They analyzed critically,[-1.2063351  4.1052327 -0.9622206 ... -0.9336417 -2.7336495  3.1772993],[-1.2929932  2.9972656 -0.8143293 ... -1.2452554 -1.2828991  2.4861817]
339,We synthesize creatively,We synthesized creatively,"[-1.1074760e+00  3.5311885e+00 -1.5165210e-03 ...  1.7130561e+00
 -4.7900730e-01  1.1733799e+00]","[-1.1994082   4.412515    0.24897082 ...  0.08258571  0.19008438
 -0.2758976 ]"
340,I interpret accurately,I interpreted accurately,"[ 0.26022148  4.7961807   0.07974366 ... -0.5963828  -2.2066576
  2.273929  ]","[ 0.39080906  3.6257346  -0.82696724 ... -1.5757328  -1.2036504
  2.1581597 ]"
341,You evaluate objectively,You evaluated objectively,"[-0.01285235  4.735624    0.44871807 ... -1.8273335  -0.5026292
  3.5438335 ]","[ 0.41293517  4.1098742  -0.29677203 ... -2.5615513   0.6866812
  2.6540687 ]"
342,It functions perfectly,It functioned perfectly,"[ 0.81877905  2.1385477   0.04149159 ... -1.9625674  -1.0167403
  2.7620182 ]",[ 1.5944207  1.4697895  0.589439  ... -1.3548763 -0.9923448  2.642994 ]
343,He malfunctions intermittently,He malfunctioned intermittently,"[ 1.8326092   2.670294   -0.6314467  ... -0.41119713 -2.664838
  1.2952745 ]",[ 2.220407   2.5665147 -0.6727303 ... -2.5717304 -2.7784424  1.958127 ]
